title,neighborhood,address,city,state,zipcode,typeofhistoricresource,datebuilt/architect,earliestbuildingdate,datedestroyed,rennovationyears,OriginalArchitect,ArchitectInfo,Photo,Rights,0,col_id,location,longitude,lattitude,status,,,,,,,,,,
Union Baptist Church Building #2,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",1913,0,1926,,,,,089,dream089,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,success,,,,,,,,,,
St. Charles Borromeo Church,South,1941 Christian St.,Philadelphia,PA,19146,church,"1876, Edwin Forrest Durang",1876,0,0,,https://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,090,dream090,"1941 Christian Street, Philadelphia, PA, USA",39.941299,-75.175457,success,,,,,,,,,,
Holy Trinity Baptist Church,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,"1900, Edwin Gilbert of Gilbert & Reid",1900,0,0,,,,,091,dream091,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,,,,,,,,,,
YWCA - Southwest-Belmont Branch,South,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,"ca. 1922, Erskine, Morris",1922,0,0,,,,,092,dream092,"Catharine Street, Philadelphia, PA, USA",39.936955,-75.142769,doubt,,,,,,,,,,
Shiloh Baptist Church #3 / Church of the Holy Apostles,South,2040 Christian St.,Philadelphia,PA,19146,church,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt",1868,0,0,,https://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,Preservation Alliance for Greater Philadelphia,,093,dream093,"2040 Christian St, Philadelphia, PA, USA",39.941156,-75.17749,success,,,,,,,,,,
Harrison Day Nursery,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,"1898, Furness, Evans and Co.",1898,0,0,,,,,094,dream094,"Ellsworth Street, Philadelphia, PA, USA",39.933044,-75.146626,doubt,,,,,,,,,,
Zion A.M.E. Church,South,1600 S. 21st St.,Philadelphia,PA,19145,church,"1925-1928, George E. Savage",1925,0,0,,,,,095,dream095,"1600-06 S 21st St, Philadelphia, PA, USA",39.931847,-75.180092,success,,,,,,,,,,
St. Martha's House / Houston Community Center,South,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,"ca. 1914, Hastings Brockie",1914,0,0,,,,,096,dream096,"2029 South 8th Street, Philadelphia, PA, USA",39.923225,-75.159555,success,,,,,,,,,,
St. Mary Chapel Building,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,"1897, Hazlehurst & Huckel",1897,0,0,,,,,097,dream097,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,,,,,,,,,,
Varick Memorial Church Site,South,763 S. 19th St.,Philadelphia,PA,19146,church,"1889, Hazlehurst & Huckel",1889,0,0,,,,,098,dream098,"763 S 19th St, Philadelphia, PA, USA",39.942029,-75.173852,success,,,,,,,,,,
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,1730 Wharton St.,Philadelphia,PA,19146,church,"1885-1888, J. Franklin Stuckert",1885,0,0,,,,,099,dream099,"1730 Wharton St, Philadelphia, PA, USA",39.934777,-75.173805,success,,,,,,,,,,
Church of the Crucifixion Building and Parish House,South,620 S. 8th St.,Philadelphia,PA,19147,church,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler",1883,0,1902,,https://www.preservationalliance.com/images/aia/620S8thSt.jpg,Preservation Alliance for Greater Philadelphia,,100,dream100,"South 8th Street, Philadelphia, PA, USA",39.932037,-75.157756,doubt,,,,,,,,,,
Tasker Street Baptist Church / Metropolitan Baptist Church,South,2010 Tasker St.,Philadelphia,PA,19145,church,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",1900,0,1928;1940,,,,,101,dream101,"Tasker Street, Philadelphia, PA, USA",39.930982,-75.172246,doubt,,,,,,,,,,
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,South,1642 Fitzwater St.,Philadelphia,PA,19146,church,"1857, Samuel Sloan",1857,0,0,,https://www.preservationalliance.com/images/aia/1642FitzwaterSt.jpg,Preservation Alliance for Greater Philadelphia,,102,dream102,"1642 Fitzwater St, Philadelphia, PA, USA",39.942237,-75.170639,success,,,,,,,,,,
Union Baptist Building #1 / New Hope Temple Baptist Church,South,711-715 S. 12th St.,Philadelphia,PA,19147,church,"1893, Thomas Bennett",1893,0,0,,https://www.preservationalliance.com/images/aia/711-15S12thStb.jpg,Preservation Alliance for Greater Philadelphia,,103,dream103,"South 12th Street, Philadelphia, PA, USA",39.932836,-75.164046,doubt,,,,,,,,,,
Moyamensing Prison,South,10th and Reed Sts.,Philadelphia,PA,19147,prison,"ca. 1832-1835, Thomas Ustick Walter; many alterations; demolished 1968",1832,1968,9,,,,,104,dream104,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
St. Simon the Cyrenian Church and Rectory,South,1401 S. 22nd St.,Philadelphia,PA,19146,church,"1905 (rectory), 1913-1914, Thomas, Churchman & Molitor",1905,0,1913-1914,,,,,105,dream105,"1401-11 S 22nd St, Philadelphia, PA, USA",39.934379,-75.180644,success,,,,,,,,,,
First Penny Savings and Loan,South,2052 Bainbridge St.,Philadelphia,PA,19146,bank,"ca. 1914, W. Haddock",1914,0,0,,,,,106,dream106,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt,,,,,,,,,,
First African Baptist Church Building,South,1600-1606 Christian St.,Philadelphia,PA,19146,church,"1904, Watson & Huckel",1904,0,0,,,,,107,dream107,"Christian Street, Philadelphia, PA, USA",39.939942,-75.165555,doubt,,,,,,,,,,
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,South,609 S. Clifton St.,Philadelphia,PA,19147,church,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953",1840,0,1895;1921,,https://www.preservationalliance.com/images/aia/609SCliftonSt.jpg,Preservation Alliance for Greater Philadelphia,,108,dream108,"609 S Clifton St, Philadelphia, PA, USA",39.942645,-75.159714,success,,,,,,,,,,
Dutrieuille Catering Site #2,West,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,"ca. 1888, A. Wade",1888,0,0,,,,,109,dream109,"4001 Spring Garden St, Philadelphia, PA, USA",39.961839,-75.202415,success,,,,,,,,,,
First African Presbyterian Church / Emmanuel Presbyterian Church,West,4159 W. Girard Ave.,Philadelphia,PA,19104,church,"1912, Charles Bolton & Son",1912,0,0,,,,,110,dream110,"4159 W Girard Ave, Philadelphia, PA, USA",39.973946,-75.209674,success,,,,,,,,,,
St. Matthew Church Building,West,215 N. 57th St.,Philadelphia,PA,19139,church,"1940, Charles Bolton & Son",1940,0,0,,,,,111,dream111,"215-23 N 57th St, Philadelphia, PA, USA",39.964697,-75.233722,success,,,,,,,,,,
Bethel Baptist Church,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,"1924, Clarence Caspary",1924,0,0,,,,,112,dream112,"Haverford Avenue, Philadelphia, PA, USA",39.968301,-75.23486,doubt,,,,,,,,,,
Franklin Field,West,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,"1922, Day & Klauder",1922,0,0,,,,,113,dream113,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
St. Monica Mission Church Site,West,4206 Woodland Ave.,Philadelphia,PA,19104,church,"1914-1916, Duhring, Okie and Ziegler",1914,0,0,,,,,114,dream114,"Woodland Avenue, Philadelphia, PA, USA",39.949464,-75.199983,doubt,,,,,,,,,,
Paul Leroy Robeson House,West,4951 Walnut St.,Philadelphia,PA,19139,dwelling,"1911, E.A. Wilson; alterations, ca. 1959",1911,0,1959,,,,,115,dream115,"4951 Walnut St, Philadelphia, PA, USA",39.956688,-75.221373,success,,,,,,,,,,
African Episcopal Church of St. Thomas Site #3,West,6361 Lancaster Ave.,Philadelphia,PA,19151,church,"1899, Frederick Mann; alterations, 1905, Baily & Bassett",1899,0,1905,,,,,116,dream116,"6361 Lancaster Avenue, Philadelphia, PA, USA",39.987312,-75.251068,success,,,,,,,,,,
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,West,5901 Larchwood Ave.,Philadelphia,PA,19143,church,"1917, George D. Savage",1917,0,0,,,,,117,dream117,"5901 Larchwood Ave, Philadelphia, PA, USA",39.954,-75.240659,success,,,,,,,,,,
Mount Pisgah A.M.E. Church / Centenary Methodist Church,West,428 N. 41st St.,Philadelphia,PA,19104,church,"ca. 1860s-1880s; alterations, 1901, H. King; alterations, 1913, James Fernald; rebuilt after fire, 1944",1860,0,1901;1913;1944,,,,,118,dream118,"North 41st Street, Philadelphia, PA, USA",39.976197,-75.206385,doubt,,,,,,,,,,
Mount Carmel Baptist Church,West,5732 Race St.,Philadelphia,PA,19139,church,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II",1915,0,1938,,,,,119,dream119,"5732 Race Street, Philadelphia, PA, USA",39.964312,-75.235491,success,,,,,,,,,,
Clanerda Presbyterian Church,West,34th and Girard Sts.,Philadelphia,PA,19104,church,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,0,0,,,,,120,dream120,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Irvine Auditorium (University of Pennsylvania),West,3401 Spruce St.,Philadelphia,PA,19104,auditorium,"ca. 1928, Horace Trumbauer (Julian Abele)",1928,0,0,,,,,121,dream121,"3401 Spruce Street, Philadelphia, PA, USA",39.950877,-75.19301,success,,,,,,,,,,
Otto Eisenlohr House / President's House (University of Pennsylvania),West,3812 Walnut St.,Philadelphia,PA,19104,dwelling,"ca. 1905, Horace Trumbauer (Julian Abele)",1905,0,0,,,,,122,dream122,"Walnut Street, Philadelphia, PA, USA",39.949649,-75.16673,doubt,,,,,,,,,,
Zoological Society Building,West,34th and Girard Sts.,Philadelphia,PA,19104,,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,0,0,,,,,123,dream123,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,,,,,,,,,,
Stephen Smith Home for the Aged and Infirmed,West,4400 W. Girard Ave.,Philadelphia,PA,19104,retirement home,"ca. 1883, Hutton, Addison",1883,0,0,,,,,124,dream124,"4400 W Girard Ave, Philadelphia, PA, USA",39.972816,-75.212586,success,,,,,,,,,,
Overbrook High School (Wilt Chamberlain),West,5898 Lancaster Ave.,Philadelphia,PA,19131,school,"1924, Irwin T. Catherine",1924,0,0,,,,,125,dream125,"Lancaster Avenue, Philadelphia, PA, USA",39.974485,-75.220917,doubt,,,,,,,,,,
Star of Hope Baptist Church,West,443 N. 60th St.,Philadelphia,PA,19151,church,"ca. 1962, James Plater",1962,0,0,,,,,126,dream126,"443 N 60th St, Philadelphia, PA, USA",39.969076,-75.239025,success,,,,,,,,,,
Tyree A.M.E. Church / 10th United Presbyterian Church,West,3800 Hamilton St.,Philadelphia,PA,19104,church,"1886, Lawrence Valk",1886,0,0,,,,,127,dream127,"3800-04 Hamilton St, Philadelphia, PA, USA",39.961293,-75.19721,success,,,,,,,,,,
Pinn Memorial Baptist Church / Har Zion Synagogue,West,2251 N. 54th St.,Philadelphia,PA,19131,church,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey",1922,0,1940-1957,,,,,128,dream128,"North 54th Street, Philadelphia, PA, USA",39.993335,-75.233854,doubt,,,,,,,,,,
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,West,4201 Powelton Ave.,Philadelphia,PA,19104,church,"ca. 1875; alterations, 1903, Morris & Vaux",1875,0,0,,,,,129,dream129,"4201 Powelton Avenue, Philadelphia, PA, USA",39.959156,-75.206639,success,,,,,,,,,,
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,"before 1922; alterations as church, 1937, Richard Neely",1922,0,1903,,,,,130,dream130,"Haverford Avenue, Philadelphia, PA, USA",39.968301,-75.23486,doubt,,,,,,,,,,
Monumental Baptist Church / First Reformed Church,West,4948 Locust St.,Philadelphia,PA,19139,church,"1923-1925, Stuckert & Co.",1923,0,0,,,,,131,dream131,"4948 Locust St, Philadelphia, PA, USA",39.955048,-75.221354,success,,,,,,,,,,
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",West,907 N. 41st St.,Philadelphia,PA,19104,church,"1892, T. P. Lonsdale",1892,0,0,,,,,132,dream132,"North 41st Street, Philadelphia, PA, USA",39.976197,-75.206385,doubt,,,,,,,,,,
White Rock Baptist Church / St. Matthew M.E. Church,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl",1889,0,1899;1908,,,,,133,dream133,"Chestnut Street, Philadelphia, PA, USA",39.957881,-75.220335,doubt,,,,,,,,,,
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,West,4238 Wallace St.,Philadelphia,PA,19104,church,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock",1889,0,1920,,,,,134,dream134,"4238-40 Wallace St, Philadelphia, PA, USA",39.963341,-75.20862,success,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
